level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
2272,2272,195.3437,0.47431728,0.022016106,0.0,0,9.0629702,0.0,0.0014829352,5.773179509634895,10.086761,451.12708,-9.2364321,5.773179509634895
2273,2273,195.3439,1.8431611,0.042663179,0.0,0,9.0337057,0.0,0.0026026457,22.40123524468792,10.050132,451.19174,-9.2364483,22.40123524468792
2274,2274,195.3441,3.7112069,0.083357193,0.0,0,9.0044422,0.0,0.0047389716,44.974327082825745,10.022059,451.25644,-9.2366714,44.974327082825745
2275,2275,195.3443,4.9204435,0.11182651,0.0,0,8.9751778,0.0,0.0070413942,59.50735275923534,9.9944458,451.32111,-9.2354107,59.50735275923534
2276,2276,195.3445,5.4027309,0.13672768,0.0,0,8.9459143,0.0,0.0089517171,65.22375094610558,9.9609251,451.38577,-9.2338886,65.22375094610558
2277,2277,195.3447,5.5639653,0.17334108,0.0,0,8.9166498,0.0,0.010802863,66.9940620465886,9.9216843,451.45044,-9.2325211,66.9940620465886
2278,2278,195.3449,5.7217126,0.2288678,0.0,0,8.8873854,0.0,0.014353752,68.61868311845893,9.873558,451.51514,-9.2315588,68.61868311845893
2279,2279,195.3451,5.71242,0.31686941,0.0,0,8.8581219,0.0,0.020308403,68.0724334857332,9.8230371,451.5798,-9.2310343,68.0724334857332
2280,2280,195.3453,5.4645395,0.40028676,0.0,0,8.8288574,0.0,0.02583996,64.72422534438165,9.7725,451.64447,-9.230896,64.72422534438165
2281,2281,195.3455,5.3967209,0.43772519,0.0,0,8.7995939,0.0,0.029065134,63.74615831383003,9.7174807,451.70917,-9.2311659,63.74615831383003
2282,2282,195.3457,5.702342,0.46729094,0.0,0,8.7703295,0.0,0.031437367,67.21029563795157,9.6609125,451.77383,-9.2314482,67.21029563795157
2283,2283,195.3459,5.8471069,0.52278739,0.0,0,8.7416534,0.0,0.03445198,68.63579354743005,9.6061945,451.8385,-9.2321768,68.63579354743005
2284,2284,195.3461,5.7803726,0.58603245,0.0,0,8.7136869,0.0,0.038737755,67.53609450004532,9.5551195,451.9032,-9.2326374,67.53609450004532
2285,2285,195.3463,6.0102005,0.63763165,0.0,0,8.6858492,0.0,0.043033093,69.95295378049587,9.5071154,451.96786,-9.231966,69.95295378049587
2286,2286,195.3465,6.4034781,0.65696263,0.0,0,8.6580172,0.0,0.044600517,74.42319673342168,9.4613857,452.03253,-9.231595,74.42319673342168
2287,2287,195.3467,6.3419499,0.6495986,0.0,0,8.6301851,0.0,0.044172902,73.74851589986751,9.4209347,452.0972,-9.2315521,73.74851589986751
2288,2288,195.3469,5.8336544,0.66768527,0.0,0,8.6023531,0.0,0.045333352,67.74639295125368,9.3811407,452.1619,-9.2312508,67.74639295125368
2289,2289,195.3471,5.5615053,0.72422928,0.0,0,8.5745211,0.0,0.048633628,64.31373861331582,9.3446045,452.22656,-9.2312393,64.31373861331582
2290,2290,195.3473,5.8467789,0.77441156,0.0,0,8.546689,0.0,0.052130587,67.35869869502764,9.3131399,452.29123,-9.2314453,67.35869869502764
2291,2291,195.3475,6.2783232,0.80080229,0.0,0,8.518857,0.0,0.054753281,72.1869412414601,9.2794933,452.35593,-9.2315321,72.1869412414601
2292,2292,195.3477,6.4199986,0.81641179,0.0,0,8.491025,0.0,0.055891309,73.72914540630899,9.2453518,452.42059,-9.2313671,73.72914540630899
