level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
1774,1774,145.3667,1.1697621,0.0090850368,0.0,0,9.0044422,0.0,0.00034193476,14.250903528912788,9.9895821,300.78027,-9.3248425,14.250903528912788
1775,1775,145.3669,2.6062984,0.022709379,0.0,0,8.9751787,0.0,0.0014390593,31.721145643381096,9.9483929,300.83792,-9.3242054,31.721145643381096
1776,1776,145.3671,4.3669977,0.055429477,0.0,0,8.9459143,0.0,0.0034001493,53.02699507548108,9.9177094,300.89557,-9.323473,53.02699507548108
1777,1777,145.3673,5.4786444,0.081910416,0.0,0,8.9166508,0.0,0.004877578,66.39990382701819,9.8912134,300.95319,-9.3231211,66.39990382701819
1778,1778,145.3675,6.0283017,0.10262972,0.0,0,8.8873863,0.0,0.0066933464,72.95362025577728,9.861083,301.01083,-9.3223629,72.95362025577728
1779,1779,145.3677,6.4732265,0.1376209,0.0,0,8.8581219,0.0,0.0089353425,78.14216679317329,9.8255615,301.06848,-9.3219576,78.14216679317329
1780,1780,145.3679,7.0650787,0.1944975,0.0,0,8.8288584,0.0,0.011987154,84.93925866444657,9.7862291,301.1261,-9.3211899,84.93925866444657
1781,1781,145.3681,7.4649911,0.26706052,0.0,0,8.7995939,0.0,0.016995639,89.2786771584861,9.7434559,301.18375,-9.3203602,89.2786771584861
1782,1782,145.3683,7.6501145,0.33340281,0.0,0,8.7703304,0.0,0.021935046,91.05369075459369,9.6963987,301.24136,-9.3197479,91.05369075459369
1783,1783,145.3685,7.9067864,0.37756398,0.0,0,8.7416534,0.0,0.024808284,93.8066160158609,9.6475267,301.29901,-9.3195724,93.8066160158609
1784,1784,145.3687,8.3719501,0.41452417,0.0,0,8.7136879,0.0,0.027457312,99.05765959188311,9.5964375,301.35666,-9.3191252,99.05765959188311
1785,1785,145.3689,8.7414026,0.46350494,0.0,0,8.6858492,0.0,0.030952251,103.05862610905072,9.5475054,301.41428,-9.3185053,103.05862610905072
1786,1786,145.3691,8.9396152,0.51451308,0.0,0,8.6580172,0.0,0.034084674,105.00095658895306,9.4996624,301.47192,-9.3180056,105.00095658895306
1787,1787,145.3693,9.2819519,0.54508704,0.0,0,8.6301851,0.0,0.036528334,108.77634314474999,9.4523716,301.52957,-9.3177872,108.77634314474999
1788,1788,145.3695,9.6441574,0.55628312,0.0,0,8.6023531,0.0,0.037936956,112.92764029720895,9.413949,301.58719,-9.3172369,112.92764029720895
1789,1789,145.3697,9.6544418,0.57233876,0.0,0,8.574522,0.0,0.038553711,112.91393090731417,9.378974,301.64484,-9.3159409,112.91393090731417
1790,1790,145.3699,9.414608,0.60045606,0.0,0,8.546689,0.0,0.040187769,109.87987101433673,9.346242,301.70245,-9.316433,109.87987101433673
1791,1791,145.3701,9.4169731,0.63299108,0.0,0,8.518857,0.0,0.042894259,109.64233004848485,9.3186417,301.7601,-9.317893,109.64233004848485
1792,1792,145.3703,9.6504068,0.66833168,0.0,0,8.4910259,0.0,0.045162011,112.06504717859464,9.2895164,301.81775,-9.318428,112.06504717859464
1793,1793,145.3705,9.8467646,0.69091201,0.0,0,8.4631929,0.0,0.046678092,114.15280913970622,9.2593565,301.87537,-9.3184948,114.15280913970622
1794,1794,145.3707,10.037052,0.70354307,0.0,0,8.4353609,0.0,0.048033461,116.24906746143424,9.2304287,301.93301,-9.3181343,116.24906746143424
1795,1795,145.3709,10.293255,0.73957378,0.0,0,8.4075298,0.0,0.050010592,118.89539811112081,9.1978664,301.99063,-9.3173685,118.89539811112081
1796,1796,145.3711,10.453019,0.79523015,0.0,0,8.3796968,0.0,0.053284135,120.2372041293288,9.1609602,302.04828,-9.3166647,120.2372041293288
1797,1797,145.3713,10.340745,0.8474769,0.0,0,8.3518648,0.0,0.057504077,118.4780483885104,9.1210833,302.10593,-9.3158407,118.4780483885104
1798,1798,145.3715,10.114444,0.90015411,0.0,0,8.3240337,0.0,0.061361965,115.42394421090816,9.0785971,302.16354,-9.3156061,115.42394421090816
1799,1799,145.3717,10.103897,0.94637382,0.0,0,8.2962017,0.0,0.064223863,114.8992365368058,9.0352783,302.22119,-9.3162632,114.8992365368058
1800,1800,145.3719,10.334159,0.97965664,0.0,0,8.2683697,0.0,0.066966549,117.21989789699454,8.9928589,302.27884,-9.3165026,117.21989789699454
1801,1801,145.3721,10.486087,1.0222548,0.0,0,8.2405376,0.0,0.070131019,118.55639861611058,8.9535294,302.33646,-9.3166351,118.55639861611058
1802,1802,145.3723,10.460711,1.0619305,0.0,0,8.2127056,0.0,0.072639421,117.91006831980495,8.913763,302.3941,-9.3171759,117.91006831980495
1803,1803,145.3725,10.509729,1.0718719,0.0,0,8.1848736,0.0,0.073942758,118.37209852651164,8.8775053,302.45172,-9.3179302,118.37209852651164
1804,1804,145.3727,10.751703,1.0816581,0.0,0,8.1570415,0.0,0.07492277,121.00634914776154,8.8456907,302.50937,-9.3183184,121.00634914776154
1805,1805,145.3729,10.916716,1.1067809,0.0,0,8.1292095,0.0,0.076002657,122.62597491375291,8.8153667,302.56702,-9.3173542,122.62597491375291
1806,1806,145.3731,10.828257,1.1300635,0.0,0,8.1013775,0.0,0.077764288,121.41396757098858,8.7872581,302.62463,-9.3169355,121.41396757098858
1807,1807,145.3733,10.697309,1.1613271,0.0,0,8.0735455,0.0,0.080440737,119.6560089947079,8.7610731,302.68228,-9.3164644,119.6560089947079
1808,1808,145.3735,10.732053,1.1937256,0.0,0,8.0462685,0.0,0.082361706,119.74345666179443,8.7359552,302.73993,-9.3164492,119.74345666179443
1809,1809,145.3737,10.911518,1.2097362,0.0,0,8.0196619,0.0,0.083573699,121.5945127762959,8.7090254,302.79755,-9.3164244,121.5945127762959
1810,1810,145.3739,11.040557,1.2373143,0.0,0,7.993176,0.0,0.085867077,122.76871826827956,8.680541,302.85519,-9.3157167,122.76871826827956
1811,1811,145.3741,11.067543,1.2836238,0.0,0,7.9666953,0.0,0.088691078,122.62476929169189,8.652194,302.91281,-9.3155394,122.62476929169189
1812,1812,145.3743,11.114555,1.3216037,0.0,0,7.9402156,0.0,0.091445111,122.77991177450139,8.6194506,302.97046,-9.3149748,122.77991177450139
1813,1813,145.3745,11.152799,1.3583628,0.0,0,7.9137359,0.0,0.094668835,122.84716381176258,8.583951,303.02811,-9.3150377,122.84716381176258
1814,1814,145.3747,11.095923,1.3983256,0.0,0,7.8872557,0.0,0.097315699,121.83644327301576,8.5502195,303.08572,-9.3161297,121.83644327301576
1815,1815,145.3749,11.020861,1.4287258,0.0,0,7.8607755,0.0,0.09930484,120.72190681461896,8.5160036,303.14337,-9.3167,120.72190681461896
1816,1816,145.3751,11.066709,1.4627407,0.0,0,7.8342957,0.0,0.10229009,120.89789730651604,8.4804688,303.20712,-9.3170214,120.89789730651604
1817,1817,145.3753,11.157241,1.500962,0.0,0,7.8078156,0.0,0.10507675,121.51732029176941,8.4468956,303.27701,-9.3173485,121.51732029176941
1818,1818,145.3755,11.174508,1.5214498,0.0,0,7.7813354,0.0,0.10636792,121.50695186735432,8.4156561,303.34686,-9.3172598,121.50695186735432
1819,1819,145.3757,11.198463,1.5334156,0.0,0,7.7548552,0.0,0.1077795,121.65128511636102,8.3859339,303.41675,-9.3170576,121.65128511636102
1820,1820,145.3759,11.31817,1.5550402,0.0,0,7.7283754,0.0,0.10936543,122.7395430721712,8.3597832,303.4866,-9.3165951,122.7395430721712
1821,1821,145.3761,11.429727,1.5819787,0.0,0,7.7018952,0.0,0.11078317,123.68242712769336,8.3325844,303.55649,-9.3164158,123.68242712769336
1822,1822,145.3763,11.414923,1.6102185,0.0,0,7.675415,0.0,0.11320975,123.2427947021633,8.309516,303.62637,-9.3166409,123.2427947021633
1823,1823,145.3765,11.349657,1.6368904,0.0,0,7.6489348,0.0,0.1155265,122.2757151510379,8.2862883,303.69623,-9.3162127,122.2757151510379
1824,1824,145.3767,11.382804,1.65693,0.0,0,7.6224551,0.0,0.11654051,122.43506997472083,8.2576151,303.76611,-9.3150778,122.43506997472083
1825,1825,145.3769,11.52183,1.6755713,0.0,0,7.5959754,0.0,0.11804302,123.74424393829756,8.2322197,303.83597,-9.3143301,123.74424393829756
1826,1826,145.3771,11.630391,1.7033873,0.0,0,7.5694952,0.0,0.12043664,124.62970058769895,8.2095661,303.90585,-9.3148708,124.62970058769895
1827,1827,145.3773,11.62531,1.7404113,0.0,0,7.543015,0.0,0.12255659,124.20205736710011,8.1842566,303.97574,-9.3155947,124.20205736710011
1828,1828,145.3775,11.594741,1.7733762,0.0,0,7.5165353,0.0,0.12509046,123.54403679757282,8.1565714,304.04559,-9.3162451,123.54403679757282
1829,1829,145.3777,11.63071,1.7995311,0.0,0,7.4900556,0.0,0.12771495,123.66350166314065,8.1282749,304.11548,-9.3168249,123.66350166314065
1830,1830,145.3779,11.666566,1.8301557,0.0,0,7.4635754,0.0,0.12958251,123.73490041255677,8.096076,304.18533,-9.3168192,123.73490041255677
1831,1831,145.3781,11.656916,1.8620093,0.0,0,7.4370952,0.0,0.13182445,123.31052644068932,8.0635433,304.25522,-9.3165197,123.31052644068932
1832,1832,145.3783,11.633227,1.8892077,0.0,0,7.410615,0.0,0.13449839,122.78551574083657,8.0363235,304.3251,-9.3160896,122.78551574083657
1833,1833,145.3785,11.653068,1.9172065,0.0,0,7.3846664,0.0,0.13637534,122.71193874590928,8.0100164,304.39496,-9.3165359,122.71193874590928
1834,1834,145.3787,11.729156,1.9353223,0.0,0,7.3593612,0.0,0.13755345,123.32887278962755,7.984921,304.46484,-9.3170691,123.32887278962755
1835,1835,145.3789,11.824125,1.9441168,0.0,0,7.3341722,0.0,0.13888511,124.23724585396289,7.9579096,304.5347,-9.3160839,124.23724585396289
1836,1836,145.3791,11.886075,1.9696317,0.0,0,7.3089881,0.0,0.14052704,124.62508952851861,7.9303107,304.60458,-9.3147621,124.62508952851861
1837,1837,145.3793,11.894421,2.0020769,0.0,0,7.2838039,0.0,0.14246064,124.3778177631364,7.9048223,304.67447,-9.3146276,124.3778177631364
1838,1838,145.3795,11.883195,2.0219061,0.0,0,7.2586198,0.0,0.14459676,124.05600873895006,7.8809509,304.74432,-9.3146849,124.05600873895006
1839,1839,145.3797,11.882781,2.0460443,0.0,0,7.2334356,0.0,0.14644803,123.80284230097891,7.8614702,304.81421,-9.3150454,123.80284230097891
1840,1840,145.3799,11.902253,2.0724616,0.0,0,7.2082515,0.0,0.14791985,123.73291514049254,7.8400321,304.88406,-9.3154535,123.73291514049254
1841,1841,145.3801,11.936966,2.0896716,0.0,0,7.1830673,0.0,0.14976421,123.91553720815685,7.8171029,304.95395,-9.3154459,123.91553720815685
1842,1842,145.3803,12.001151,2.1197758,0.0,0,7.1578832,0.0,0.15220095,124.2683470559766,7.7916265,305.02383,-9.3153305,124.2683470559766
1843,1843,145.3805,12.085208,2.1550851,0.0,0,7.1326995,0.0,0.15430027,124.76844793522503,7.7640781,305.09369,-9.3152103,124.76844793522503
1844,1844,145.3807,12.139552,2.1728401,0.0,0,7.1075153,0.0,0.15609851,125.14245731110027,7.7384553,305.16357,-9.3154507,125.14245731110027
1845,1845,145.3809,12.142987,2.1980226,0.0,0,7.0823312,0.0,0.15834215,124.91249419230392,7.7119865,305.23343,-9.3155584,124.91249419230392
1846,1846,145.3811,12.12826,2.2331917,0.0,0,7.0571475,0.0,0.16041236,124.39081575210554,7.6831708,305.30331,-9.315588,124.39081575210554
1847,1847,145.3813,12.121905,2.2561445,0.0,0,7.0319633,0.0,0.16247299,124.0841520690701,7.6532407,305.3732,-9.3156309,124.0841520690701
1848,1848,145.3815,12.127222,2.2832994,0.0,0,7.0067792,0.0,0.16512182,123.85274419494321,7.6275177,305.44305,-9.3152189,123.85274419494321
